g_number,g_price,g_details,g_picture,g_color,g_size,g_brand
100045503722,1499.00,商品名称：vivoiQOO Z7x&商品编号：100045503722&商品毛重：0.51kg&商品产地：中国大陆&CPU型号：骁龙600系列&运行内存：8GB&机身颜色：深空黑&三防标准：不支持防水&充电功率：80-119W&屏幕材质：LCD&后摄主像素：5000万像素&特征特质：屏幕高刷新率，5G&屏幕分辨率：FHD+&风格：科技，时尚&机身色系：黑色系&机身内存：256GB&,http://img12.360buyimg.com/n1/s450x450_jfs/t1/211562/27/31490/59344/645ddd75Fe38fc838/71eb49896aad08c6.jpg,深空黑,8GB+256GB,vivo
100041239020,2699.00,商品名称：小米Redmi K60&商品编号：100041239020&商品毛重：0.54kg&商品产地：中国大陆&CPU型号：骁龙8+ Gen 1&运行内存：12GB&机身颜色：墨羽&三防标准：IP53&充电功率：50-79W&屏幕材质：OLED直屏&后摄主像素：6400万像素&机身内存：256GB&屏幕分辨率：WQHD+&机身色系：黑色系&特征特质：屏幕指纹，屏幕高刷新率，光学防抖拍照，无线充电&风格：科技，时尚，大气&,http://img10.360buyimg.com/n1/s450x450_jfs/t1/67627/40/24760/55306/645a10b4F073bbe62/5d2bb44d952ae692.jpg,墨羽,12GB+256GB,小米（MI）
100042265411,2399.00,商品名称：荣耀荣耀X40 GT&商品编号：100042265411&商品毛重：480.00g&商品产地：中国大陆&CPU型号：骁龙888&运行内存：12GB&机身颜色：钛空银&三防标准：不支持防水&屏幕分辨率：FHD+&充电功率：50-79W&机身内存：256GB&风格：ins风，大气，科技&屏幕材质：LCD&后摄主像素：5000万像素&机身色系：银色系&,http://img11.360buyimg.com/n1/s450x450_jfs/t1/148238/14/31258/27698/63468df4E8901928d/0292f11d27944602.jpg,钛空银,12GB+256GB,荣耀（HONOR）
100038430076,1599.00,商品名称：一加Ace 竞速版&商品编号：100038430076&商品毛重：0.55kg&商品产地：中国大陆&CPU型号：天玑8100-MAX&运行内存：8GB&机身颜色：竞技灰&三防标准：生活防水&充电功率：50-79W&支持IPv6：支持IPv6&屏幕材质：LCD&后摄主像素：6400万像素&特征特质：屏幕高刷新率，防水防尘，5G，NFC&屏幕分辨率：FHD+&泰尔电竞评级：否&风格：商务，时尚，大气&机身色系：灰色系&机身内存：256GB&,http://img11.360buyimg.com/n1/s450x450_jfs/t1/89874/14/25980/80212/645cbd28Fc05b5bdb/1ac64d8656cc3760.jpg,竞技灰,8+256GB,一加
100041054085,2559.00,商品名称：vivoiQOO Neo7&商品编号：100041054085&商品毛重：0.53kg&商品产地：中国大陆&CPU型号：天玑9000+&运行内存：12GB&机身颜色：几何黑&三防标准：不支持防水&屏幕分辨率：FHD+&充电功率：120-150W&机身内存：512GB&机身色系：黑色系&屏幕材质：OLED直屏&后摄主像素：5000万像素&风格：科技，时尚，大气&,http://img10.360buyimg.com/n1/s450x450_jfs/t1/97231/13/35513/49305/645de426Fa7b03700/a5ea465a6bd41275.jpg,几何黑,12GB+512GB,vivo
100042508892,2799.00,商品名称：一加Ace 2&商品编号：100042508892&商品毛重：0.58kg&商品产地：中国大陆&CPU型号：骁龙8+ Gen 1&运行内存：12GB&机身颜色：冰河蓝&三防标准：IPX4&充电功率：80-119W&支持IPv6：支持IPv6&屏幕材质：OLED曲面屏&后摄主像素：5000万像素&特征特质：屏幕指纹，屏幕高刷新率，防水防尘，5G，NFC，红外遥控，VC散热，大底主摄&屏幕分辨率：FHD+&泰尔电竞评级：电竞手机&机身色系：蓝色系&风格：科技，时尚，轻奢&机身内存：256GB&,http://img12.360buyimg.com/n1/s450x450_jfs/t1/133186/26/36477/70106/645df053F8b9c9183/26b63ca2bb377054.jpg,冰河蓝,12GB+256GB,一加
100047301988,2299.00,商品名称：小米Redmi Note12 Turbo&商品编号：100047301988&商品毛重：490.00g&商品产地：中国大陆&CPU型号：骁龙7+ Gen2&运行内存：12GB&机身颜色：黑色&三防标准：IP53&屏幕分辨率：FHD+&充电功率：50-79W&机身内存：512GB&风格：简约风，科技，大气&屏幕材质：OLED直屏&后摄主像素：6400万像素&机身色系：黑色系&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/73223/22/23756/48892/6458e8b5Fa1e5652b/b4f299ce526749d8.jpg,碳纤黑,12GB+512GB,小米（MI）
100038004389,8599.00,商品名称：AppleiPhone 14 Pro&商品编号：100038004389&商品毛重：377.00g&商品产地：中国大陆&CPU型号：A16&运行内存：未公布&机身颜色：暗紫色&三防标准：IP68&屏幕分辨率：FHD+&充电功率：以官网信息为准&机身内存：256GB&机身色系：紫色系&屏幕材质：OLED直屏&后摄主像素：4800万像素&风格：苹果风，商务，科技&,http://img14.360buyimg.com/n1/s450x450_jfs/t1/187271/34/34831/44972/645effc1F8147275c/025b94b330def0c2.jpg,暗紫色,256GB,Apple
100011493273,999.00,商品名称：荣耀play5T 4G&商品编号：100011493273&商品毛重：400.00g&商品产地：中国大陆&CPU型号：紫光展锐&运行内存：8GB&机身颜色：极光蓝&三防标准：不支持防水&屏幕分辨率：HD+&充电功率：25W及以下&机身内存：128GB&风格：简约风，商务，户外&屏幕材质：LCD&后摄主像素：1300万像素&机身色系：蓝色系&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/201578/31/15673/77560/619479ceEd1bde507/c0dab826b71e0b84.jpg,极光蓝,,荣耀（HONOR）
100038004359,9499.00,商品名称：AppleiPhone 14 Pro Max&商品编号：100038004359&商品毛重：420.00g&商品产地：中国大陆&CPU型号：A16&运行内存：未公布&机身颜色：暗紫色&三防标准：IP68&屏幕分辨率：FHD+&充电功率：以官网信息为准&机身内存：256GB&风格：苹果风，商务，科技&屏幕材质：OLED直屏&后摄主像素：4800万像素&机身色系：紫色系&,http://img14.360buyimg.com/n1/s450x450_jfs/t1/109378/5/38492/44618/645f02afF6fae024c/4cdd597e285a1a80.jpg,暗紫色,256GB,Apple
